id,AvPTAI2015,PTAL
E02000899,5.207921,2
E02000900,5.207921,2
E02000901,4.306383,1b
E02000902,5.656863,2
E02000903,4.595745,1b
E02000904,6.269231,2
E02000905,9.814433,2
E02000906,9.814433,2
E02000907,7.794595,2
E02000908,9.814433,2
E02000909,7.794595,2
E02000910,18.693694,4
E02000911,8.051948,2
E02000912,11.383562,3
E02000913,10.743719,3
E02000914,6.552632,2
E02000915,20.723077,5
E02000916,6.552632,2
E02000917,15.933333,4
E02000918,20.723077,5
E02000919,15.933333,4
E02000920,8.575,2
E02000921,17.76699,4
E02000922,8.095238,2
E02000923,12.929078,3
E02000924,12.176101,3
E02000925,12.929078,3
E02000926,12.929078,3
E02000927,31.095745,6a
E02000928,15.260417,4
E02000929,36.953704,6a
E02000930,31.095745,6a
E02000931,31.095745,6a
E02000932,15.260417,4
E02000933,6.516304,2
E02000934,24.675862,5
E02000935,4.884615,1b
E02000936,14.5125,3
E02000937,30.25,6a
E02000938,6.516304,2
E02000939,17.32,4
E02000940,10.611465,3
E02000941,7.420863,2
E02000942,14.5125,3
E02000943,17.32,4
E02000944,7.339286,2
E02000945,4.884615,1b
E02000946,13.262774,3
E02000947,10.611465,3
E02000948,11.21978,3
E02000949,20.88,5
E02000950,7.339286,2
E02000951,20.88,5
E02000952,11.21978,3
E02000953,13.262774,3
E02000954,16.358025,4
E02000955,16.358025,4
E02000956,16.358025,4
E02000957,20.872549,5
E02000958,7.542254,2
E02000959,7.542254,2
E02000960,14.671053,3
E02000961,18.592593,4
E02000962,14.671053,3
E02000963,18.192982,4
E02000964,20.897959,5
E02000965,18.723077,4
E02000966,26.746032,6a
E02000967,62.32,6b
E02000968,34.465116,6a
E02000969,19.134328,4
E02000970,55.574257,6b
E02000971,62.32,6b
E02000972,65.030303,6b
E02000973,27.102041,6a
E02000974,52.90625,6b
E02000975,36.412698,6a
E02000976,36.412698,6a
E02000977,66.445087,6b
E02000978,27.150418,6a
E02000979,66.445087,6b
E02000980,42.144928,6b
E02000981,64.736842,6b
E02000982,26.758065,6a
E02000983,33.5,6a
