Orig,Dest,Dist
E02000191,E02000482,27500.93404
E02000191,E02000483,24876.3102
E02000191,E02000484,23345.85018
E02000191,E02000485,26103.09028
E02000191,E02000486,24040.34106
E02000191,E02000487,27096.85651
E02000191,E02000488,24347.47795
E02000191,E02000489,22973.50765
E02000191,E02000490,22872.06361
E02000191,E02000491,21550.31648
E02000191,E02000492,23947.67434
E02000191,E02000493,23172.84009
E02000191,E02000494,23022.58228
E02000191,E02000495,21745.83156
E02000191,E02000496,25185.75657
E02000191,E02000497,20514.68638
E02000191,E02000498,22326.07342
E02000191,E02000499,19177.50293
E02000191,E02000500,20955.6821
E02000191,E02000501,19204.88231
E02000191,E02000502,20777.7044
E02000191,E02000503,19453.62774
E02000191,E02000504,22458.25784
E02000191,E02000506,23415.97158
E02000191,E02000507,21042.33628
E02000191,E02000508,23434.62704
E02000191,E02000509,24429.05157
E02000191,E02000510,22482.27439
E02000191,E02000511,20273.62912
E02000191,E02000512,21451.31221
E02000191,E02000513,18486.00949
E02000191,E02000514,19281.77993
E02000191,E02000515,23989.13843
E02000191,E02000516,17584.83568
E02000191,E02000517,21041.04351
E02000191,E02000518,22524.70153
E02000191,E02000519,18918.87084
E02000191,E02000520,20122.8956
E02000191,E02000521,22091.4993
E02000191,E02000522,23615.78824
E02000191,E02000523,20301.91015
E02000191,E02000524,23568.40785
E02000191,E02000525,20662.73688
E02000191,E02000526,8758.244991
E02000191,E02000528,11695.5945
E02000191,E02000529,17197.25141
E02000191,E02000530,18765.08297
E02000191,E02000531,13187.76816
E02000191,E02000532,9871.992725
E02000191,E02000533,10685.68141
E02000191,E02000534,14913.4088
E02000191,E02000535,18377.00554
E02000191,E02000536,17319.12069
E02000191,E02000537,16105.7962
E02000191,E02000538,19642.04666
E02000191,E02000539,14678.41629
E02000191,E02000540,15980.12781
E02000191,E02000541,18770.02114
E02000191,E02000542,17857.94192
E02000191,E02000543,17225.81525
E02000191,E02000544,16339.57259
E02000191,E02000545,15179.36871
E02000191,E02000546,18828.78984
E02000191,E02000547,20905.16427
E02000191,E02000548,22988.97662
E02000191,E02000549,20207.80033
E02000191,E02000550,21533.60781
E02000191,E02000551,20000.30926
E02000191,E02000552,22468.91707
E02000191,E02000553,21087.8628
E02000191,E02000554,5436.262452
E02000191,E02000555,5165.234622
E02000191,E02000556,4986.955795
E02000191,E02000557,4589.814859
E02000191,E02000558,4641.858402
E02000191,E02000559,4693.98431
E02000191,E02000560,4224.854137
E02000191,E02000561,4004.04592
E02000191,E02000562,4419.431301
E02000191,E02000563,3498.322902
E02000191,E02000564,3663.995162
E02000191,E02000565,4601.580893
E02000191,E02000566,3595.335596
E02000191,E02000567,4074.715122
E02000191,E02000568,2716.210852
E02000191,E02000569,3431.561686
E02000191,E02000570,2624.733471
E02000191,E02000571,3291.29164
E02000191,E02000572,1943.755726
E02000191,E02000573,2542.780079
E02000191,E02000574,1732.823333
E02000191,E02000575,2085.009646
E02000191,E02000576,2928.160587
E02000191,E02000577,5562.682413
E02000191,E02000578,5930.70928
E02000191,E02000579,5927.98027
E02000191,E02000580,5000.101002
E02000191,E02000581,5698.402247
E02000191,E02000582,4685.01791
E02000191,E02000583,5396.526307
E02000191,E02000584,4540.515186
E02000191,E02000585,5582.292567
E02000191,E02000586,4411.161044
E02000191,E02000587,5160.864734
E02000191,E02000588,3496.428768
E02000191,E02000589,4941.224516
E02000191,E02000590,4047.252666
E02000191,E02000591,5593.580846
E02000191,E02000592,4534.958757
E02000191,E02000593,5452.534224
E02000191,E02000594,4304.526556
E02000191,E02000595,4805.795677
E02000191,E02000596,5342.937158
E02000191,E02000597,5677.795094
E02000191,E02000598,15783.47162
E02000191,E02000599,14334.32594
E02000191,E02000600,15584.73744
E02000191,E02000601,16393.35605
E02000191,E02000602,16780.17897
E02000191,E02000603,16285.12869
E02000191,E02000604,15597.15162
E02000191,E02000605,16342.5444
E02000191,E02000606,17717.08491
E02000191,E02000607,17438.50252
E02000191,E02000608,18726.07206
E02000191,E02000609,17140.52735
E02000191,E02000610,18931.49468
E02000191,E02000611,18011.88976
E02000191,E02000612,17075.11038
E02000191,E02000613,19495.03283
E02000191,E02000614,19166.37538
E02000191,E02000615,20581.1073
E02000191,E02000616,21017.11013
E02000191,E02000617,23149.06265
E02000191,E02000619,3661.336595
E02000191,E02000620,4021.765661
E02000191,E02000621,4588.808795
E02000191,E02000622,4998.436119
E02000191,E02000623,5132.730128
E02000191,E02000624,5490.908588
E02000191,E02000625,5618.765799
E02000191,E02000626,6168.424412
E02000191,E02000627,6079.950685
E02000191,E02000628,6390.21604
E02000191,E02000629,6147.648588
E02000191,E02000630,6441.336217
E02000191,E02000631,7035.8953
E02000191,E02000632,6818.320908
E02000191,E02000633,7094.624844
E02000191,E02000634,6987.073516
E02000191,E02000635,7759.545983
E02000191,E02000636,7413.226248
E02000191,E02000637,7861.558983
E02000191,E02000638,8097.35159
E02000191,E02000639,8328.387668
E02000191,E02000640,8470.23359
E02000191,E02000641,8726.824175
E02000191,E02000642,9150.432704
E02000191,E02000643,9242.567626
E02000191,E02000644,9697.595408
E02000191,E02000645,10145.66113
E02000191,E02000646,9793.4151
E02000191,E02000647,10602.32222
E02000191,E02000648,10962.24258
E02000191,E02000649,10698.15604
E02000191,E02000650,11380.57232
E02000191,E02000651,11501.56762
E02000191,E02000652,11945.54154
E02000191,E02000653,7508.954491
E02000191,E02000654,8243.633231
E02000191,E02000655,7616.582234
E02000191,E02000657,9046.975206
E02000191,E02000658,8275.369327
E02000191,E02000659,10827.90824
E02000191,E02000660,9632.68042
E02000191,E02000661,11582.05798
E02000191,E02000662,9171.996323
E02000191,E02000663,10280.01161
E02000191,E02000664,11012.0544
E02000191,E02000665,12109.34523
E02000191,E02000666,10364.47566
E02000191,E02000667,10330.56072
E02000191,E02000668,12833.50378
E02000191,E02000669,12155.42841
E02000191,E02000670,11934.667
E02000191,E02000671,10627.47047
E02000191,E02000672,11419.10694
E02000191,E02000673,10216.77887
E02000191,E02000674,12878.31862
E02000191,E02000675,13980.4643
E02000191,E02000676,11222.51799
E02000191,E02000677,12575.20282
E02000191,E02000678,13851.02174
E02000191,E02000679,11579.80222
E02000191,E02000680,10971.08431
E02000191,E02000681,12245.11757
E02000191,E02000682,13434.52169
E02000191,E02000683,15427.24136
E02000191,E02000685,11524.04723
E02000191,E02000686,13528.77696
E02000191,E02000687,12266.0742
E02000191,E02000689,10827.95527
E02000191,E02000690,12440.91172
E02000191,E02000691,11765.96796
E02000191,E02000692,12523.77445
E02000191,E02000693,11858.76548
E02000191,E02000694,12035.84309
E02000191,E02000695,11822.92106
E02000191,E02000696,12130.05129
E02000191,E02000697,12785.04694
E02000191,E02000698,14033.77311
E02000191,E02000699,13512.81752
E02000191,E02000700,12959.94622
E02000191,E02000701,12658.38138
E02000191,E02000702,13282.39824
E02000191,E02000703,13663.42088
E02000191,E02000704,14538.16043
E02000191,E02000705,12995.46444
E02000191,E02000706,13242.12324
E02000191,E02000707,13883.25786
E02000191,E02000708,15591.2377
E02000191,E02000709,14947.90136
E02000191,E02000710,14279.46052
E02000191,E02000711,14410.79396
E02000191,E02000712,15327.86824
E02000191,E02000713,16199.90059
E02000191,E02000714,11398.60207
E02000191,E02000715,13895.05406
E02000191,E02000716,13048.40262
E02000191,E02000717,13106.42025
E02000191,E02000718,13989.13391
E02000191,E02000719,10668.92584
E02000191,E02000720,11969.99844
E02000191,E02000721,11426.68217
E02000191,E02000722,10479.31285
E02000191,E02000723,13079.88857
E02000191,E02000724,12490.14313
E02000191,E02000725,9756.142581
E02000191,E02000726,8940.554897
E02000191,E02000727,12011.21261
E02000191,E02000728,13686.81812
E02000191,E02000729,10779.5191
E02000191,E02000730,11437.67923
E02000191,E02000731,12920.7739
E02000191,E02000732,12295.30674
E02000191,E02000733,9930.836282
E02000191,E02000734,10598.47699
E02000191,E02000735,11470.91756
E02000191,E02000736,14016.67019
E02000191,E02000737,13188.35769
E02000191,E02000738,12309.32932
E02000191,E02000739,11019.37022
E02000191,E02000740,9831.756958
E02000191,E02000741,11692.34703
E02000191,E02000742,12864.76666
E02000191,E02000743,10410.01575
E02000191,E02000744,11098.71984
E02000191,E02000745,12310.45187
E02000191,E02000746,14559.09514
E02000191,E02000747,10086.01286
E02000191,E02000748,12978.03651
E02000191,E02000749,11535.09939
E02000191,E02000750,12721.7919
E02000191,E02000751,15183.37869
E02000191,E02000752,20723.0199
E02000191,E02000753,18942.74599
E02000191,E02000754,15622.83366
E02000191,E02000755,15841.18229
E02000191,E02000756,17437.7277
E02000191,E02000757,13667.06804
E02000191,E02000758,15725.04437
E02000191,E02000759,14329.75092
E02000191,E02000760,16498.65055
E02000191,E02000762,15386.08132
E02000191,E02000763,18722.39694
E02000191,E02000764,12718.14257
E02000191,E02000765,15645.19281
